id,primaryTitle,nconst
373646,Iron Man 3,Robert Downey Jr.
373647,Iron Man 3,Guy Pearce
195568,Requiem for a Dream,Jared Leto
195569,Requiem for a Dream,Marlon Wayans
310532,Captain America: The First Avenger,Samuel L. Jackson
310531,Captain America: The First Avenger,Hugo Weaving
310530,Captain America: The First Avenger,Chris Evans
323679,Thor,Tom Hiddleston
323678,Thor,Anthony Hopkins
323677,Thor,Chris Hemsworth
422875,Captain America: The Winter Soldier,Samuel L. Jackson
422874,Captain America: The Winter Soldier,Chris Evans
422876,Captain America: The Winter Soldier,Robert Redford
390661,Gravity,Ed Harris
390660,Gravity,George Clooney
330632,The Hobbit: An Unexpected Journey,Ian McKellen
330631,The Hobbit: An Unexpected Journey,Martin Freeman
330634,The Hobbit: An Unexpected Journey,Andy Serkis
458453,Whiplash,J.K. Simmons
458452,Whiplash,Miles Teller
233101,The Pianist,Thomas Kretschmann
233100,The Pianist,Adrien Brody
298744,300,Gerard Butler
298746,300,Dominic West
103896,Taxi Driver,Robert De Niro
103897,Taxi Driver,Albert Brooks
177311,Spider-Man,James Franco
177310,Spider-Man,Willem Dafoe
177309,Spider-Man,Tobey Maguire
365243,Iron Man 2,Robert Downey Jr.
365244,Iron Man 2,Mickey Rourke
365245,Iron Man 2,Don Cheadle
159989,The Big Lebowski,Steve Buscemi
159988,The Big Lebowski,John Goodman
159987,The Big Lebowski,Jeff Bridges
163126,Star Wars: Episode I - The Phantom Menace,Liam Neeson
163125,Star Wars: Episode I - The Phantom Menace,Ewan McGregor
445553,The Grand Budapest Hotel,Adrien Brody
445550,The Grand Budapest Hotel,Ralph Fiennes
410078,The Revenant,Tom Hardy
410077,The Revenant,Leonardo DiCaprio
410080,The Revenant,Domhnall Gleeson
352446,The Hangover,Bradley Cooper
352447,The Hangover,Justin Bartha
352448,The Hangover,Ed Helms
352445,The Hangover,Zach Galifianakis
163741,Star Wars: Episode III - Revenge of the Sith,Hayden Christensen
163742,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor
163743,Star Wars: Episode III - Revenge of the Sith,Samuel L. Jackson
294750,Sin City,Mickey Rourke
294752,Sin City,Bruce Willis
294751,Sin City,Clive Owen
61683,12 Angry Men,Martin Balsam
61681,12 Angry Men,Henry Fonda
321684,Man of Steel,Michael Shannon
321683,Man of Steel,Henry Cavill
481771,Captain America: Civil War,Sebastian Stan
481769,Captain America: Civil War,Chris Evans
481770,Captain America: Civil War,Robert Downey Jr.
226976,Harry Potter and the Sorcerer's Stone,Daniel Radcliffe
226978,Harry Potter and the Sorcerer's Stone,Richard Harris
226977,Harry Potter and the Sorcerer's Stone,Rupert Grint
115700,Blade Runner,Harrison Ford
115701,Blade Runner,Rutger Hauer
435332,The Imitation Game,Matthew Goode
435331,The Imitation Game,Benedict Cumberbatch
135214,Indiana Jones and the Last Crusade,Harrison Ford
135215,Indiana Jones and the Last Crusade,Sean Connery
287437,Kill Bill: Vol. 2,Michael Madsen
287436,Kill Bill: Vol. 2,David Carradine
477253,Logan,Patrick Stewart
477252,Logan,Hugh Jackman
421400,Black Panther,Michael B. Jordan
421399,Black Panther,Chadwick Boseman
341688,Silver Linings Playbook,Bradley Cooper
341689,Silver Linings Playbook,Robert De Niro
425069,X-Men: Days of Future Past,James McAvoy
425066,X-Men: Days of Future Past,Patrick Stewart
425067,X-Men: Days of Future Past,Ian McKellen
425068,X-Men: Days of Future Past,Hugh Jackman
289670,Pirates of the Caribbean: Dead Man's Chest,Orlando Bloom
289669,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
481861,Thor: Ragnarok,Chris Hemsworth
481863,Thor: Ragnarok,Mark Ruffalo
481862,Thor: Ragnarok,Tom Hiddleston
363525,Doctor Strange,Benedict Cumberbatch
363526,Doctor Strange,Chiwetel Ejiofor
163738,Star Wars: Episode II - Attack of the Clones,Hayden Christensen
163739,Star Wars: Episode II - Attack of the Clones,Ewan McGregor
163740,Star Wars: Episode II - Attack of the Clones,Christopher Lee
467925,Batman v Superman: Dawn of Justice,Henry Cavill
467924,Batman v Superman: Dawn of Justice,Ben Affleck
467926,Batman v Superman: Dawn of Justice,Jesse Eisenberg
432190,12 Years a Slave,Michael Fassbender
432191,12 Years a Slave,Brad Pitt
432188,12 Years a Slave,Chiwetel Ejiofor
345974,Skyfall,Daniel Craig
345975,Skyfall,Javier Bardem
551499,Once Upon a Time... In Hollywood,Brad Pitt
551500,Once Upon a Time... In Hollywood,Emile Hirsch
551498,Once Upon a Time... In Hollywood,Leonardo DiCaprio
371858,The Social Network,Jesse Eisenberg
371860,The Social Network,Justin Timberlake
